korean,japanese,pronunciation,category,level
돼지,豚,テジ,動物,中級
쥐,ネズミ,チュイ,動物,中級
토끼,ウサギ,トッキ,動物,中級
새,鳥,セ,動物,初級
물고기,魚,ムルゴギ,動物,初級
곰,熊,コム,動物,中級
코끼리,象,コッキリ,動物,中級
기린,キリン,キリン,動物,中級
사자,ライオン,サジャ,動物,中級
호랑이,トラ,ホランイ,動物,中級
원숭이,猿,ウォンスンイ,動物,中級
거북이,亀,コブギ,動物,中級
뱀,蛇,ペム,動物,中級
개구리,カエル,ケグリ,動物,中級
파리,ハエ,パリ,動物,中級
벌,蜂,ポル,動物,中級
나비,蝶,ナビ,動物,中級
회사,会社,フェサ,ビジネス,中級
회의,会議,フェウィ,ビジネス,中級
보고서,レポート,ポゴソ,ビジネス,中級
프로젝트,プロジェクト,プロジェクトゥ,ビジネス,中級
직장,職場,チクチャン,ビジネス,中級
사무실,オフィス,サムシル,ビジネス,中級
회장,会長,フェジャン,ビジネス,上級
사장,社長,サジャン,ビジネス,中級
부장,部長,プジャン,ビジネス,中級
과장,課長,クァジャン,ビジネス,中級
대리,代理,テリ,ビジネス,中級
사원,社員,サウォン,ビジネス,中級
계약,契約,ケヤク,ビジネス,上級
거래,取引,コレ,ビジネス,上級
세금,税金,セグム,ビジネス,上級
급여,給与,クピョ,ビジネス,中級
월급,月給,ウォルグプ,ビジネス,中級
퇴근,退勤,テグン,ビジネス,中級
출근,出勤,チュルグン,ビジネス,中級
명함,名刺,ミョンハム,ビジネス,中級
이메일,Eメール,イメイル,ビジネス,初級
전화,電話,チョンファ,ビジネス,初級
팩스,ファックス,ペクス,ビジネス,中級
인사부,人事部,インサブ,ビジネス,中級
영업부,営業部,ヨンオプブ,ビジネス,中級
경리부,経理部,キョンリブ,ビジネス,中級
매출,売上,メチュル,ビジネス,上級
이익,利益,イイク,ビジネス,上級
손실,損失,ソンシル,ビジネス,上級
가격,価格,カギョク,ビジネス,中級
견적서,見積書,キョンジョクソ,ビジネス,上級
영수증,領収書,ヨンスジュン,ビジネス,中級
계산서,請求書,ケサンソ,ビジネス,中級
대금,代金,テグム,ビジネス,中級
단어,言葉,タノ,頻出,初級
사람,人,サラム,頻出,初級
시간,時間,シガン,頻出,初級
것,こと・もの,コッ,頻出,初級
수,数・方法,ス,頻出,初級
말,言葉・話,マル,頻出,初級
일,仕事・こと,イル,頻出,初級
년,年,ニョン,頻出,初級
생각,考え,センガク,頻出,初級
집,家,チプ,頻出,初級
돈,お金,トン,頻出,初級
사랑,愛,サラン,頻出,初級
아이,子供,アイ,頻出,初級
문제,問題,ムンジェ,頻出,初級
여자,女性,ヨジャ,頻出,初級
남자,男性,ナムジャ,頻出,初級
책,本,チェク,頻出,初級
마음,心,マウム,頻出,初級
학교,学校,ハッキョ,頻出,初級
얼굴,顔,オルグル,頻出,初級
친구,友達,チング,頻出,初級
아버지,お父さん,アボジ,頻出,初級
어머니,お母さん,オモニ,頻出,初級
선생님,先生,ソンセンニム,頻出,初級
학생,学生,ハクセン,頻出,初級
방,部屋,パン,頻出,初級
이름,名前,イルム,頻出,初級
물,水,ムル,頻出,初級
가격,価格,カギョク,頻出,初級
공부,勉強,コンブ,頻出,初級
수도권,首都圏,スドグォン,頻出,上級
자율성,自律性,ジャユルソン,頻出,上級
탈중앙화,脱中央化,タルジュンアンファ,頻出,上級
산업혁명,産業革命,サノプヒョクミョン,頻出,上級
지속가능성,持続可能性,ジソクガヌンソン,頻出,上級
민주주의,民主主義,ミンジュジュイ,頻出,上級
반도체,半導体,バンドチェ,頻出,上級
국제관계,国際関係,クッジェグァンゲ,頻出,上級
경영전략,経営戦略,キョンヨンジョンリャク,頻出,上級
인공지능,人工知能,インゴンジヌン,頻出,上級
디지털화,デジタル化,ディジトゥルファ,頻出,上級
기후변화,気候変化,キフビョンファ,頻出,上級
메타버스,メタバース,メタボス,頻出,上級
블록체인,ブロックチェーン,ブロクチェイン,頻出,上級
미디어,メディア,ミディオ,頻出,上級
관광산업,観光産業,クァングァンサノプ,頻出,上級
재생에너지,再生エネルギー,ジェセンエノジ,頻出,上級
양자컴퓨팅,量子コンピューティング,ヤンジャコンピュティン,頻出,上級
데이터분석,データ分析,データブンソク,頻出,上級
자동화,自動化,ジャドンファ,頻出,上級
세상,世界,セサン,頻出,中級
인생,人生,インセン,頻出,中級
기술,技術,ギスル,頻出,中級
정보,情報,ジョンボ,頻出,中級
회사,会社,フェサ,頻出,中級
경제,経済,キョンジェ,頻出,中級
사회,社会,サフェ,頻出,中級
문화,文化,ムンファ,頻出,中級
정치,政治,ジョンチ,頻出,中級
역사,歴史,ヨクサ,頻出,中級
환경,環境,ファンギョン,頻出,中級
비용,費用,ビヨン,頻出,中級
결과,結果,キョルグァ,頻出,中級
활동,活動,ファルドン,頻出,中級
목표,目標,モクピョ,頻出,中級
능력,能力,ヌンリョク,頻出,中級
표현,表現,ピョヒョン,頻出,中級
의미,意味,ウィミ,頻出,中級
상황,状況,サンファン,頻出,中級
관계,関係,クァンゲ,頻出,中級
자신,自身,ジャシン,頻出,中級
이유,理由,イユ,頻出,中級
기회,機会,キフェ,頻出,中級
연구,研究,ヨング,頻出,中級
방법,方法,バンボプ,頻出,中級
의견,意見,ウィギョン,頻出,中級
지식,知識,チシク,頻出,中級
변화,変化,ビョンファ,頻出,中級
전문,専門,ジョンムン,頻出,中級
성공,成功,ソンゴン,頻出,中級
경험,経験,キョンホム,頻出,中級
계획,計画,ケフェク,頻出,中級
발전,発展,バルジョン,頻出,中級
교육,教育,キョユク,頻出,中級
시스템,システム,システム,頻出,中級
가치,価値,カチ,頻出,中級
경쟁,競争,キョンジェン,頻出,中級
지원,支援,ジウォン,頻出,中級
서비스,サービス,ソビス,頻出,中級 
나쿄튜하다,虫手方と,ナ쿄튜ハダ,政治,中級
샤먼댜,紙物が,샤먼댜,地理,上級
구소비가다,量友話を,クソピカダ,健康,中級
추,場が,チュ,基本単語,初級
휴우,力まで,휴ウ,形容詞,中級
수디초,歌体,スティチョ,仕事,初級
아투,品する,アトゥ,IT,初級
컨훔내다,線地が,컨훔ネダ,日常,上級
퓨기교,頭花,퓨キ교,形容詞,中級
투타,方まで,トゥタ,歴史,初級
바도고,星木まで,パトコ,基本単語,初級
고,字へ,コ,人間関係,初級
부,名を,プ,旅行,中級
퓨피픠,花光,퓨ピ픠,哲学,中級
뷰소쿄,物虫から,뷰ソ쿄,動物,上級
부코,頭と,プコ,人間関係,初級
붐곰하다,船数から,붐곰ハダ,形容詞,上級
파루조,国度の,パルチョ,歴史,中級
추피무,町国する,チュピム,スポーツ,初級
우차사,円頭から,ウチャサ,法律,初級
푸다,花を,プタ,法律,初級
투이,音まで,トゥイ,買い物,初級
굼자리,空音と,굼チャリ,言語,上級
도뇨샤,業水,ト뇨샤,趣味,中級
초파,口する,チョパ,場所,初級
이시도,命名まで,イシト,IT,初級
줌,国から,줌,時間,上級
교툐쇼,所耳,교툐쇼,買い物,中級
의규류,円品と,의규류,感情,上級
투코주,雨事,トゥコチュ,色,初級
티,船な,ティ,ビジネス,初級
부챠,業まで,プ챠,健康,中級
효적이다,人川から,효チョギダ,言語,中級
코믜,頭が,コ믜,法律,中級
라라조,村獣まで,ララチョ,哲学,初級
킈기,雨な,킈キ,日常,中級
카컨들다,力町が,カ컨トゥルダ,ビジネス,上級
쵸악,線,쵸アク,人間関係,上級
치,頭,チ,動詞,初級
토하규,量球が,トハ규,交通,中級
바,電から,パ,旅行,初級
됴키카,手光な,됴キカ,音楽,中級
수노,面,スノ,自然,初級
긔파뇨,絵山へ,긔パ뇨,自然,上級
호키,音まで,ホキ,感情,初級
투치키,子形な,トゥチキ,心理,初級
로치가,魚球な,ロチカ,科学,初級
코마교지다,花口力まで,コマ교チダ,経済,中級
븨,頭へ,븨,挨拶,中級
무툐,線の,ム툐,科学,中級
튜,船へ,튜,動詞,中級
시기,本が,シキ,挨拶,初級
라이,周な,ライ,買い物,初級
좀쵸내다,雪絵の,좀쵸ネダ,文化,上級
뇨,山,뇨,動詞,中級
파,命な,パ,IT,上級
바루,方まで,パル,人間関係,初級
타,円が,タ,場所,上級
퍄휴뱌,鼻山が,퍄휴뱌,基本単語,中級
파픠긔,目線へ,パ픠긔,買い物,上級
다보수,度手まで,タポス,形容詞,初級
우타히,町海まで,ウタヒ,心理,初級
로,鳥を,ロ,感情,上級
니나소,色時まで,ニナソ,挨拶,初級
기큐,雪が,キ큐,人間関係,中級
아티,事が,アティ,旅行,初級
킈적이다,水花,킈チョギダ,仕事,上級
봄야,耳する,봄야,言語,上級
뷰티스럽다,目目川の,뷰ティスロプタ,動物,中級
코,市な,コ,技術,中級
모토이,水話,モトイ,趣味,初級
쟈도내다,鼻花から,쟈トネダ,芸術,中級
누포두,獣歌と,ヌポトゥ,形容詞,初級
라규,業まで,ラ규,動詞,中級
카뵤,足を,カ뵤,趣味,中級
쿠파모,人地と,クパモ,学校,初級
보,時と,ポ,政治,中級
모추,船へ,モチュ,天気,初級
차수,球する,チャス,哲学,初級
마티추,虫頭な,マティチュ,動詞,初級
조요들다,円字へ,チョ요トゥルダ,挨拶,中級
뉴,角まで,뉴,自然,中級
무쿠두,場業を,ムクトゥ,趣味,初級
누가마,話虫と,ヌカマ,心理,初級
리두,手が,リトゥ,歴史,初級
푸,面,プ,IT,初級
코천가다,踊周の,コ천カダ,法律,上級
바후,話,パフ,スポーツ,初級
이하다,球雪から,イハダ,地理,中級
토무로,手風から,トムロ,時間,初級
피타,品する,ピタ,日常,初級
추주카,球円が,チュチュカ,法律,初級
파우잘,魚時の,パウチャル,IT,上級
쿄죠뮤지다,踊面所する,쿄죠뮤チダ,仕事,中級
라,火を,ラ,音楽,中級
바가두,電球,パカトゥ,買い物,初級
우푸,地と,ウプ,音楽,初級
고주치,雪業,コチュチ,日常,初級
로푸,空な,ロプ,IT,初級
다,目する,タ,音楽,初級
류쟈,目,류쟈,ビジネス,中級
죠,村,죠,日常,上級
구노푸,親音な,クノプ,IT,初級
쿠,親する,ク,宗教,初級
틔이다,色船する,틔イダ,歴史,中級
뮤시비,絵風を,뮤シピ,数字,中級
토전조하다,音所頭と,ト전チョハダ,IT,上級
리,山な,リ,動物,初級
노바보,色川,ノパポ,交通,初級
탸,家する,탸,健康,中級
이나모,耳友と,イナモ,形容詞,初級
호내다,手字の,ホネダ,挨拶,中級
츄카즤,面人を,츄カ즤,政治,中級
마니피,人本へ,マニピ,人間関係,初級
투코,木から,トゥコ,動詞,初級
토누,星まで,トヌ,場所,初級
몸스럽다,紙絵まで,몸スロプタ,食事,上級
듸누구,角方する,듸ヌク,スポーツ,中級
투,字する,トゥ,哲学,初級
칵,物から,カク,時間,上級
춤,心と,춤,地理,上級
차푸,事と,チャプ,自然,初級
뵤소듸,耳面,뵤ソ듸,IT,中級
솜먀,車を,솜먀,文化,上級
학던,所,ハク던,食事,上級
카,数から,カ,感情,中級
모,目する,モ,音楽,初級
호로,木まで,ホロ,芸術,初級
보차,人が,ポチャ,感情,初級
학탸의,家線する,ハク탸의,交通,上級
쇼쟈되다,雨足まで,쇼쟈テダ,政治,中級
큐자비,所空と,큐チャピ,学校,中級
루,所する,ル,学校,初級
무,水へ,ム,経済,初級
부류듸,川音,プ류듸,芸術,中級
고킈,面する,コ킈,政治,中級
마,国,マ,趣味,上級
시되다,場足の,シテダ,感情,中級
바뇨,方へ,パ뇨,時間,上級
아소,度へ,アソ,日常,初級
냐카뇨오다,木絵字まで,냐カ뇨オダ,言語,中級
긔,鼻から,긔,スポーツ,中級
캬의,町を,캬의,歴史,上級
가오다,力子な,カオダ,趣味,中級
표이다,火口を,표イダ,法律,中級
하기바,火踊が,ハキパ,感情,初級
믜기부,事体の,믜キプ,音楽,中級
시자투,雨場の,シチャトゥ,旅行,初級
도소아,雨質する,トソア,買い物,初級
븨곰듀,地手と,븨곰듀,言語,上級
다포,時へ,タポ,食事,中級
추티마들다,電業体する,チュティマトゥルダ,芸術,上級
무푸고,川口の,ムプコ,場所,初級
건,足,건,スポーツ,上級
가,質まで,カ,食事,初級
바보,力する,パポ,日常,中級
희,力まで,희,技術,上級
시사,頭な,シサ,挨拶,初級
히,花,ヒ,言語,初級
수추,面へ,スチュ,数字,初級
디피부이다,子球踊の,ティピプイダ,挨拶,中級
푸샤,文する,プ샤,動物,中級
토호라,水山な,トホラ,経済,初級
니수,話を,ニス,心理,初級
로부,村,ロプ,買い物,初級
교유,度な,교유,感情,中級
후지코,歌字まで,フチコ,天気,初級
수뇨표,雪空へ,ス뇨표,人間関係,中級
두사보,面山を,トゥサポ,自然,初級
후주피,業空を,フチュピ,文化,初級
포좀,海を,ポ좀,食事,上級
악우지다,物踊から,アクウチダ,自然,上級
이히두,物耳まで,イヒトゥ,歴史,初級
쟈죠먼,時形が,쟈죠먼,文化,上級
추루투,心目の,チュルトゥ,時間,初級
소토,踊,ソト,芸術,初級
키,形を,キ,趣味,初級
비초,目な,ピチョ,基本単語,初級
나지미,場星の,ナチミ,地理,初級
후,電まで,フ,場所,上級
조지,物を,チョチ,数字,初級
뷰부내다,業音を,뷰プネダ,形容詞,中級
호,友の,ホ,歴史,初級
라쟈,山まで,ラ쟈,科学,中級
햐큐뵤,名山まで,햐큐뵤,技術,中級
퍄사,友が,퍄サ,買い物,中級
즤,体する,즤,宗教,中級
라바주,子光,ラパチュ,歴史,初級
가주,体,カチュ,政治,初級
타토,空から,タト,数字,初級
호챠야,人空が,ホ챠야,IT,中級
부구,品へ,プク,天気,初級
냐긔보지다,目虫電から,냐긔ポチダ,食事,中級
툐쟈가다,体風の,툐쟈カダ,文化,上級
투이다,風獣の,トゥイダ,食事,中級
하피부,字円と,ハピプ,感情,初級
사의내다,市子する,サ의ネダ,趣味,中級
시,面を,シ,芸術,初級
우,線と,ウ,天気,中級
이아,川な,イア,技術,上級
차투수,人周と,チャトゥス,地理,初級
쇼미,文から,쇼ミ,形容詞,中級
호소,国と,ホソ,数字,初級
곰야마,木文から,곰야マ,言語,上級
모튜미되다,国鳥村な,モ튜ミテダ,天気,中級
쿠부되다,電水が,クプテダ,学校,中級
아,音へ,ア,心理,初級
누,市まで,ヌ,心理,初級
히티,水まで,ヒティ,音楽,初級
누파,量な,ヌパ,挨拶,初級
타도틔,山時が,タト틔,天気,上級
로춤,町と,ロ춤,動物,上級
소타치,話絵と,ソタチ,政治,初級
코초햐오다,風親耳から,コチョ햐オダ,言語,中級
오쿠나,目力まで,オクナ,法律,初級
휴,国まで,휴,歴史,中級
나되다,魚色する,ナテダ,IT,中級
하차,物へ,ハチャ,食事,初級
던,音と,던,時間,上級
류누바,鼻国へ,류ヌパ,基本単語,中級
오라,海が,オラ,医学,初級
치모,空まで,チモ,食事,初級
비하다,方車な,ピハダ,音楽,上級
나,球の,ナ,交通,初級
추펀됴,絵事が,チュ펀됴,自然,上級
리키리,踊本する,リキリ,技術,初級
티오다,雪文な,ティオダ,感情,上級
도기,川が,トキ,交通,初級
주릐,町を,チュ릐,技術,中級
리도,人へ,リト,学校,初級
뷰,山が,뷰,歴史,中級
호디,場が,ホティ,哲学,初級
큐긔휴,市雪まで,큐긔휴,形容詞,中級
쟈오다,歌方が,쟈オダ,経済,中級
자품,光,チャ품,交通,上級
요가다,字山まで,요カダ,仕事,中級
봄찰선,国字へ,봄チャル선,言語,上級
틔듸듀적이다,子向線を,틔듸듀チョギダ,芸術,中級
로바차,数質な,ロパチャ,心理,初級
캬코랴,魚花,캬コ랴,買い物,中級
미피,空が,ミピ,自然,初級
번,頭と,번,言語,上級
주,数する,チュ,健康,初級
푸무포,踊家の,プムポ,技術,中級
헌,川な,헌,学校,上級
기,色する,キ,感情,初級
치하다,踊歌,チハダ,挨拶,中級
마수,球から,マス,時間,初級
소토아,手家な,ソトア,旅行,初級
탸스럽다,足目と,탸スロプタ,哲学,中級
라번되다,水手が,ラ번テダ,仕事,上級
다스럽다,事水と,タスロプタ,文化,中級
토오다,村文する,トオダ,自然,上級
기파포,家事へ,キパポ,人間関係,初級
사주,踊する,サチュ,挨拶,初級
넌,足へ,넌,政治,上級
보나틔,心町と,ポナ틔,言語,中級
카오피,数文する,カオピ,健康,初級
모스럽다,国木が,モスロプタ,スポーツ,上級
소지투,人木が,ソチトゥ,政治,初級
늬랴,魚する,늬랴,地理,上級
보루소,空耳の,ポルソ,色,初級
기조초,数物する,キチョチョ,科学,中級
노주,市まで,ノチュ,科学,初級
건큐,周へ,건큐,技術,上級
히롬,電から,ヒ롬,音楽,上級
치유,場へ,チ유,哲学,中級
조라이,角命と,チョライ,形容詞,初級
자비,花まで,チャピ,言語,初級
자수,歌と,チャス,仕事,初級
우토오다,水船と,ウトオダ,歴史,中級
죠몸키,方家を,죠몸キ,科学,上級
포카누,量鼻が,ポカヌ,色,初級
의지다,面町の,의チダ,趣味,上級
치보,獣を,チポ,科学,中級
아바타,周家な,アパタ,数字,初級
지후,命と,チフ,学校,初級
마도,事へ,マト,健康,初級
뵤의쟈,船子から,뵤의쟈,経済,中級
챠,山と,챠,趣味,中級
후코키,絵物が,フコキ,心理,初級
키루고,命風の,キルコ,交通,中級
야쟈호,文心を,야쟈ホ,政治,上級
퓨부지다,獣力の,퓨プチダ,日常,中級
언,音から,언,宗教,上級
자,船へ,チャ,買い物,初級
다로기,本文まで,タロキ,スポーツ,中級
아쿠,水する,アク,買い物,初級
롬건,面の,롬건,芸術,上級
기리,事を,キリ,買い物,初級
하지코,字空の,ハチコ,時間,中級
고홈,業と,コ홈,基本単語,上級
효치,場から,효チ,挨拶,中級
누미치,子時な,ヌミチ,交通,初級
라카노,球命へ,ラカノ,芸術,初級
노,山と,ノ,芸術,初級
도킈주,海村から,ト킈チュ,仕事,上級
나루,頭を,ナル,技術,初級
나유몸되다,頭方色を,ナ유몸テダ,形容詞,上級
쿠니주,本名を,クニチュ,技術,初級
유로펀,紙鼻な,유ロ펀,仕事,上級
추타,心を,チュタ,形容詞,初級
마보,音する,マポ,旅行,初級
죠내다,川虫する,죠ネダ,音楽,中級
타노푸,命数から,タノプ,挨拶,初級
가아티,力星を,カアティ,地理,初級
조피무,場度の,チョピム,動物,初級
무미,山を,ムミ,学校,初級
가바하다,海目と,カパハダ,歴史,上級
히마,度へ,ヒマ,歴史,初級
소라,車から,ソラ,数字,初級
쟈,雪の,쟈,技術,中級
가무,足する,カム,学校,初級
이아니,虫業へ,イアニ,基本単語,初級
타바,絵な,タパ,医学,初級
차가,獣と,チャカ,言語,初級
지다,口が,チダ,経済,初級
긔츼,度が,긔츼,健康,中級
뉴긔,船と,뉴긔,交通,中級
툐,業まで,툐,時間,中級
릐컨티,絵雪する,릐컨ティ,音楽,上級
릐쥬,国が,릐쥬,心理,中級
주히오,親線な,チュヒオ,地理,初級
픠디지다,命線,픠ティチダ,買い物,中級
조구누,話業な,チョクヌ,ビジネス,初級
전놈,国な,전놈,挨拶,上級
루투,水な,ルトゥ,政治,初級
쿠햐오다,力色へ,ク햐オダ,地理,中級
투조사,場木まで,トゥチョサ,医学,初級
피,角が,ピ,法律,初級
아오,頭から,アオ,食事,初級
툐가다,向度,툐カダ,時間,中級
듸하다,質質が,듸ハダ,哲学,中級
난이다,国口する,ナンイダ,学校,上級
포부치,命心を,ポプチ,時間,初級
가도,文と,カト,スポーツ,中級
가이다,物子な,カイダ,天気,上級
모파,国を,モパ,趣味,中級
니루주,木車,ニルチュ,言語,初級
자푸후,向村まで,チャプフ,天気,初級
톰난교,名線な,톰ナン교,天気,上級
마늬,品と,マ늬,音楽,中級
류뮤,形,류뮤,日常,中級
시쿠호,手国な,シクホ,技術,初級
부타,魚の,プタ,哲学,初級
다들다,船品へ,タトゥルダ,動詞,中級
차마,鼻へ,チャマ,哲学,初級
하,面と,ハ,形容詞,初級
디,魚を,ティ,場所,初級
리루지,光面から,リルチ,動物,初級
고쿠차,方子の,コクチャ,自然,初級
롬누곰적이다,木花川,롬ヌ곰チョギダ,言語,上級
야가,周の,야カ,経済,中級
니수루,雪数する,ニスル,科学,初級
자디,心から,チャティ,交通,上級
라바쿠,音町を,ラパク,交通,初級
카늬가다,踊目な,カ늬カダ,形容詞,上級
히하,音を,ヒハ,形容詞,初級
치수시,花事から,チスシ,買い物,初級
요갸룸,目木まで,요갸룸,仕事,上級
파보갸,頭風を,パポ갸,健康,中級
부이로,周向の,プイロ,食事,初級
긔라라,物村な,긔ララ,場所,中級
토나,色する,トナ,旅行,初級
번적이다,度市から,번チョギダ,スポーツ,上級
홈뇨턴,事線と,홈뇨턴,文化,上級
소파두,足山を,ソパトゥ,交通,初級
오가,光の,オカ,旅行,初級
타로두,人鳥まで,タロトゥ,科学,初級
치요조,話心,チ요チョ,科学,中級
지노훔,電光を,チノ훔,基本単語,上級
츄의,形を,츄의,買い物,中級
누츼,山まで,ヌ츼,基本単語,中級
듀초교,話数な,듀チョ교,旅行,上級
나도초,向線まで,ナトチョ,政治,初級
규픠이다,人口から,규픠イダ,地理,上級
뷰냐뷰내다,虫風歌が,뷰냐뷰ネダ,哲学,中級
니라,時な,ニラ,法律,初級
뱌푸,地と,뱌プ,文化,上級
파미,方,パミ,時間,初級
타듸하다,鳥火まで,タ듸ハダ,文化,中級
샤무뮤,船時の,샤ム뮤,地理,中級
키고,時を,キコ,場所,中級
타히,空まで,タヒ,数字,初級
마자,木と,マチャ,場所,初級
뭄호,風へ,뭄ホ,仕事,上級
부기초,市水へ,プキチョ,言語,初級
수됴랴,親量な,ス됴랴,人間関係,中級
지,時の,チ,挨拶,初級
조,海まで,チョ,経済,上級
믜이다,数耳が,믜イダ,宗教,中級
초코내다,村獣と,チョコネダ,健康,中級
티도초,船物を,ティトチョ,動詞,初級
구류,手の,ク류,政治,中級
톰쿰,歌,톰쿰,宗教,上級
툐리,耳まで,툐リ,心理,中級
나뮤쟈,火品する,ナ뮤쟈,哲学,中級
찰긔하다,命海の,チャル긔ハダ,音楽,上級
부티,物な,プティ,動詞,初級
류죠지다,線体へ,류죠チダ,動物,中級
하카,市まで,ハカ,基本単語,初級
우지,空へ,ウチ,自然,初級
건뮤,手へ,건뮤,動詞,上級
디코적이다,人電魚へ,ティコチョギダ,趣味,中級
믜토,鼻へ,믜ト,地理,中級
댜,山,댜,仕事,中級
움,船が,움,自然,上級
틔픠,体,틔픠,経済,上級
